listing_id,description,room_type,host_name,last_review,price,nbhood_full,last_review_year
2595,Skylit Midtown Castle,Entire Home/Apt,Jennifer,21/05/2019,225,"Manhattan, Midtown",2019
3831,Cozy Entire Floor of Brownstone,Entire Home/Apt,LisaRoxanne,05/07/2019,89,"Brooklyn, Clinton Hill",2019
5099,Large Cozy 1 BR Apartment In Midtown East,Entire Home/Apt,Chris,22/06/2019,200,"Manhattan, Murray Hill",2019
5178,Large Furnished Room Near B'way,Private Room,Shunichi,24/06/2019,79,"Manhattan, Hell's Kitchen",2019
5238,Cute & Cozy Lower East Side 1 bdrm,Entire Home/Apt,Ben,09/06/2019,150,"Manhattan, Chinatown",2019
5295,Beautiful 1br on Upper West Side,Entire Home/Apt,Lena,22/06/2019,135,"Manhattan, Upper West Side",2019
5441,Central Manhattan/near Broadway,Private Room,Kate,23/06/2019,85,"Manhattan, Hell's Kitchen",2019
5803,"Lovely Room 1, Garden, Best Area, Legal rental",Private Room,Laurie,24/06/2019,89,"Brooklyn, South Slope",2019
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,Private Room,Claudio,05/07/2019,85,"Manhattan, Upper West Side",2019
6848,Only 2 stops to Manhattan studio,Entire Home/Apt,Allen & Irina,29/06/2019,140,"Brooklyn, Williamsburg",2019
7097,Perfect for Your Parents + Garden,Entire Home/Apt,Jane,28/06/2019,215,"Brooklyn, Fort Greene",2019
7322,Chelsea Perfect,Private Room,Doti,01/07/2019,140,"Manhattan, Chelsea",2019
7726,Hip Historic Brownstone Apartment with Backyard,Entire Home/Apt,Adam And Charity,22/06/2019,99,"Brooklyn, Crown Heights",2019
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,Private Room,Lisel,01/07/2019,130,"Brooklyn, Park Slope",2019
8025,CBG Helps Haiti Room#2.5,Private Room,Lisel,01/01/2019,80,"Brooklyn, Park Slope",2019
8110,CBG Helps Haiti Rm #2,Private Room,Lisel,02/07/2019,110,"Brooklyn, Park Slope",2019
8490,"MAISON DES SIRENES1,bohemian apartment",Entire Home/Apt,Nathalie,19/06/2019,120,"Brooklyn, Bedford-Stuyvesant",2019
8505,Sunny Bedroom Across Prospect Park,Private Room,Gregory,23/06/2019,60,"Brooklyn, Windsor Terrace",2019
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Private Room,Shon,15/06/2019,44,"Manhattan, Inwood",2019
