listing_id,description,room_type,host_name,last_review,price,nbhood_full,last_review_year,review_month
2595,Skylit Midtown Castle,Entire Home/Apt,Jennifer,2019-05-21,225,"Manhattan, Midtown",2019,May
3831,Cozy Entire Floor of Brownstone,Entire Home/Apt,LisaRoxanne,2019-07-05,89,"Brooklyn, Clinton Hill",2019,July
5099,Large Cozy 1 BR Apartment In Midtown East,Entire Home/Apt,Chris,2019-06-22,200,"Manhattan, Murray Hill",2019,June
5178,Large Furnished Room Near B'way,Private Room,Shunichi,2019-06-24,79,"Manhattan, Hell's Kitchen",2019,June
5238,Cute & Cozy Lower East Side 1 bdrm,Entire Home/Apt,Ben,2019-06-09,150,"Manhattan, Chinatown",2019,June
5295,Beautiful 1br on Upper West Side,Entire Home/Apt,Lena,2019-06-22,135,"Manhattan, Upper West Side",2019,June
5441,Central Manhattan/near Broadway,Private Room,Kate,2019-06-23,85,"Manhattan, Hell's Kitchen",2019,June
5803,"Lovely Room 1, Garden, Best Area, Legal rental",Private Room,Laurie,2019-06-24,89,"Brooklyn, South Slope",2019,June
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,Private Room,Claudio,2019-07-05,85,"Manhattan, Upper West Side",2019,July
6848,Only 2 stops to Manhattan studio,Entire Home/Apt,Allen & Irina,2019-06-29,140,"Brooklyn, Williamsburg",2019,June
7097,Perfect for Your Parents + Garden,Entire Home/Apt,Jane,2019-06-28,215,"Brooklyn, Fort Greene",2019,June
7322,Chelsea Perfect,Private Room,Doti,2019-07-01,140,"Manhattan, Chelsea",2019,July
7726,Hip Historic Brownstone Apartment with Backyard,Entire Home/Apt,Adam And Charity,2019-06-22,99,"Brooklyn, Crown Heights",2019,June
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,Private Room,Lisel,2019-07-01,130,"Brooklyn, Park Slope",2019,July
8025,CBG Helps Haiti Room#2.5,Private Room,Lisel,2019-01-01,80,"Brooklyn, Park Slope",2019,January
8110,CBG Helps Haiti Rm #2,Private Room,Lisel,2019-07-02,110,"Brooklyn, Park Slope",2019,July
8490,"MAISON DES SIRENES1,bohemian apartment",Entire Home/Apt,Nathalie,2019-06-19,120,"Brooklyn, Bedford-Stuyvesant",2019,June
8505,Sunny Bedroom Across Prospect Park,Private Room,Gregory,2019-06-23,60,"Brooklyn, Windsor Terrace",2019,June
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Private Room,Shon,2019-06-15,44,"Manhattan, Inwood",2019,June
9657,Modern 1 BR / NYC / EAST VILLAGE,Entire Home/Apt,Dana,2019-04-19,180,"Manhattan, East Village",2019,April
9668,front room/double bed,Private Room,Ssameer Or Trip,2019-06-01,50,"Manhattan, Harlem",2019,June
9704,Spacious 1 bedroom in luxe building,Private Room,Teri,2019-06-14,52,"Manhattan, Harlem",2019,June
9782,Loft in Williamsburg Area w/ Roof,Private Room,Andrea,2019-06-15,55,"Brooklyn, Greenpoint",2019,June
9783,back room/bunk beds,Private Room,Ssameer Or Trip,2019-07-01,50,"Manhattan, Harlem",2019,July
10452,Large B&B Style rooms,Private Room,Angela,2019-05-12,70,"Brooklyn, Bedford-Stuyvesant",2019,May
10962,"Lovely room 2 & garden; Best area, Legal rental",Private Room,Laurie,2019-06-21,89,"Brooklyn, South Slope",2019,June
11708,Cute apt in artist's home,Entire Home/Apt,Tyrome,2019-06-22,85,"Brooklyn, Bushwick",2019,June
12048,LowerEastSide apt share shortterm 1,Shared Room,Ben,2019-07-05,40,"Manhattan, Lower East Side",2019,July
12192,ENJOY Downtown NYC!,Private Room,Edward,2019-06-21,68,"Manhattan, East Village",2019,June
12299,Beautiful Sunny Park Slope Brooklyn,Entire Home/Apt,Abdul,2019-05-27,120,"Brooklyn, South Slope",2019,May
12318,West Side Retreat,Private Room,Cyn,2019-06-16,135,"Manhattan, Upper West Side",2019,June
12343,BEST BET IN HARLEM,Entire Home/Apt,Earl,2019-06-13,150,"Manhattan, Harlem",2019,June
12627,Entire apartment in central Brooklyn neighborhood.,Entire Home/Apt,Rana,2019-06-05,150,"Brooklyn, Prospect-Lefferts Gardens",2019,June
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",Private Room,Orestes,2019-07-01,130,"Queens, Long Island City",2019,July
12940,Charming Brownstone 3 - Near PRATT,Entire Home/Apt,Adreinne,2019-05-25,110,"Brooklyn, Bedford-Stuyvesant",2019,May
13394,Fort Greene brownstone,Private Room,Alexander,2019-06-17,80,"Brooklyn, Fort Greene",2019,June
13808,Blue Room for 2 in Brownstone for $1350 monthly,Private Room,JT And Tiziana,2019-06-16,80,"Brooklyn, Bedford-Stuyvesant",2019,June
14287,Cozy 1BD on Central Park West in New York City,Entire Home/Apt,Joya,2019-07-07,151,"Manhattan, Upper West Side",2019,July
14290,* ORIGINAL BROOKLYN LOFT *,Entire Home/Apt,James,2019-05-17,228,"Brooklyn, Williamsburg",2019,May
14314,Greenpoint Place...Has It All!,Entire Home/Apt,Jeanne,2019-06-29,144,"Brooklyn, Greenpoint",2019,June
14322,Beautiful Apartment in Manhattan!!!,Entire Home/Apt,Francesca,2019-03-25,200,"Manhattan, Kips Bay",2019,March
14377,Williamsburg 1 bedroom Apartment,Entire Home/Apt,Joanna,2019-06-22,150,"Brooklyn, Williamsburg",2019,June
14991,"Great Location, Manhattan Bedroom!",Private Room,Bianca,2019-05-18,110,"Manhattan, Lower East Side",2019,May
15220,Best Location in NYC! TIMES SQUARE!,Private Room,Luiz,2019-06-09,69,"Manhattan, Hell's Kitchen",2019,June
15338,Room in Greenpoint Loft w/ Roof,Private Room,Andrea,2019-06-04,49,"Brooklyn, Greenpoint",2019,June
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,Entire Home/Apt,Ted,2019-06-29,180,"Manhattan, SoHo",2019,June
15385,"Very, very cozy place",Private Room,Cristina,2019-06-30,80,"Brooklyn, Williamsburg",2019,June
15711,2 bedroom - Upper East Side-great for kids,Entire Home/Apt,D,2019-03-30,250,"Manhattan, Upper East Side",2019,March
16326,Comfortable 4-bedroom apt in family house.,Entire Home/Apt,Dimitri,2019-01-26,200,"Brooklyn, Prospect Heights",2019,January
16421,Your Heaven in Hells Kitchen,Private Room,Mark,2019-05-16,52,"Manhattan, Hell's Kitchen",2019,May
16580,"Sunny, Modern room in East Village!",Private Room,Reka,2019-07-01,80,"Manhattan, East Village",2019,July
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,Entire Home/Apt,Daniel,2019-06-23,275,"Brooklyn, Williamsburg",2019,June
16821,Large Room in Amazing East Village Apt,Private Room,Casey,2019-06-21,99,"Manhattan, East Village",2019,June
16974,SpaHa Loft: Enormous and Bright,Entire Home/Apt,Robin,2019-06-23,225,"Manhattan, East Harlem",2019,June
